iter	Passed	Remaining
0	178	178275
1	187	93709
2	195	64848
3	200	49960
4	207	41309
5	212	35169
6	217	30805
7	224	27817
8	229	25312
9	236	23367
10	242	21833
11	248	20459
12	256	19506
13	263	18523
14	270	17779
15	276	16995
16	282	16313
17	288	15748
18	294	15228
19	301	14792
20	308	14359
21	314	13962
22	321	13672
23	327	13329
24	334	13056
25	340	12771
26	346	12491
27	354	12310
28	360	12081
29	368	11916
30	374	11710
31	381	11535
32	388	11379
33	394	11200
34	402	11088
35	408	10947
36	417	10859
37	423	10718
38	429	10595
39	437	10504
40	443	10372
41	451	10297
42	457	10189
43	465	10122
44	472	10025
45	479	9950
46	485	9848
47	492	9777
48	499	9691
49	505	9602
50	512	9544
51	518	9455
52	525	9398
53	533	9349
54	541	9301
55	549	9257
56	558	9238
57	566	9201
58	575	9170
59	582	9120
60	588	9059
61	596	9024
62	602	8957
63	609	8919
64	615	8859
65	622	8806
66	629	8764
67	635	8706
68	643	8679
69	649	8631
70	658	8610
71	664	8564
72	671	8524
73	679	8505
74	685	8456
75	693	8436
76	700	8393
77	708	8376
78	714	8334
79	722	8311
80	728	8269
81	734	8227
82	742	8204
83	748	8161
84	756	8140
85	761	8096
86	769	8072
87	776	8048
88	783	8016
89	791	8004
90	797	7970
91	805	7951
92	812	7921
93	819	7899
94	825	7866
95	832	7835
96	839	7818
97	846	7787
98	853	7768
99	859	7737
100	865	7704
101	873	7692
102	879	7662
103	887	7649
104	894	7626
105	902	7609
106	908	7583
107	914	7553
108	923	7546
109	929	7517
110	936	7501
111	942	7475
112	950	7459
113	956	7436
114	962	7409
115	971	7402
116	977	7374
117	984	7360
118	991	7341
119	998	7324
120	1005	7303
121	1012	7283
122	1019	7267
123	1025	7244
124	1033	7232
125	1039	7213
126	1046	7194
127	1054	7180
128	1060	7161
129	1069	7158
130	1077	7150
131	1087	7148
132	1095	7140
133	1104	7138
134	1111	7123
135	1121	7123
136	1130	7120
137	1138	7111
138	1148	7111
139	1156	7104
140	1166	7107
141	1172	7085
142	1179	7069
143	1186	7053
144	1192	7033
145	1201	7025
146	1207	7004
147	1215	6997
148	1221	6977
149	1229	6966
150	1236	6951
151	1242	6933
152	1250	6920
153	1255	6899
154	1264	6891
155	1269	6869
156	1277	6860
157	1284	6843
158	1290	6824
159	1298	6818
160	1304	6799
161	1312	6789
162	1318	6769
163	1326	6763
164	1333	6748
165	1339	6730
166	1347	6722
167	1354	6706
168	1362	6697
169	1368	6680
170	1375	6670
171	1382	6656
172	1388	6638
173	1397	6632
174	1403	6617
175	1411	6610
176	1417	6592
177	1425	6583
178	1432	6569
179	1439	6556
180	1447	6549
181	1452	6530
182	1461	6524
183	1467	6506
184	1475	6498
185	1480	6481
186	1486	6464
187	1496	6463
188	1502	6445
189	1510	6440
190	1516	6423
191	1524	6414
192	1530	6397
193	1536	6382
194	1544	6376
195	1550	6361
196	1558	6353
197	1565	6339
198	1572	6330
199	1578	6315
200	1585	6302
201	1593	6296
202	1600	6282
203	1608	6277
204	1615	6263
205	1622	6254
206	1629	6241
207	1635	6228
208	1643	6219
209	1649	6206
210	1659	6203
211	1665	6190
212	1673	6181
213	1679	6166
214	1686	6156
215	1692	6143
216	1698	6128
217	1706	6120
218	1711	6104
219	1720	6099
220	1727	6089
221	1736	6084
222	1743	6074
223	1752	6071
224	1758	6058
225	1765	6046
226	1773	6037
227	1778	6023
228	1786	6014
229	1792	6000
230	1800	5993
231	1807	5983
232	1813	5970
233	1822	5964
234	1828	5951
235	1836	5943
236	1842	5931
237	1849	5922
238	1856	5911
239	1863	5899
240	1870	5891
241	1876	5877
242	1884	5870
243	1890	5856
244	1897	5846
245	1904	5837
246	1910	5823
247	1918	5818
248	1925	5806
249	1932	5798
250	1940	5789
251	1947	5779
252	1954	5770
253	1960	5758
254	1968	5750
255	1974	5738
256	1982	5730
257	1990	5723
258	1998	5717
259	2005	5707
260	2015	5705
261	2022	5697
262	2030	5691
263	2038	5684
264	2048	5681
265	2054	5669
266	2063	5663
267	2071	5657
268	2079	5651
269	2086	5642
270	2094	5634
271	2101	5624
272	2107	5613
273	2115	5604
274	2121	5592
275	2128	5584
276	2135	5573
277	2142	5564
278	2149	5554
279	2155	5543
280	2162	5533
281	2168	5521
282	2175	5512
283	2181	5499
284	2188	5489
285	2195	5481
286	2201	5470
287	2208	5459
288	2215	5449
289	2222	5441
290	2230	5434
291	2237	5424
292	2244	5416
293	2251	5406
294	2258	5397
295	2264	5386
296	2271	5376
297	2279	5368
298	2284	5356
299	2291	5347
300	2297	5335
301	2303	5323
302	2310	5315
303	2317	5304
304	2323	5294
305	2329	5283
306	2335	5272
307	2342	5263
308	2349	5253
309	2356	5244
310	2362	5233
311	2368	5221
312	2375	5213
313	2381	5202
314	2389	5195
315	2395	5185
316	2401	5174
317	2408	5165
318	2414	5154
319	2421	5145
320	2426	5133
321	2433	5124
322	2440	5115
323	2447	5105
324	2454	5096
325	2460	5087
326	2467	5077
327	2474	5068
328	2480	5058
329	2486	5048
330	2492	5038
331	2499	5028
332	2506	5020
333	2512	5009
334	2518	4999
335	2525	4990
336	2531	4979
337	2537	4970
338	2543	4960
339	2550	4950
340	2557	4941
341	2563	4932
342	2570	4922
343	2576	4913
344	2582	4902
345	2589	4894
346	2595	4884
347	2602	4876
348	2609	4866
349	2615	4857
350	2622	4848
351	2628	4839
352	2636	4831
353	2642	4822
354	2649	4813
355	2656	4804
356	2662	4795
357	2669	4787
358	2676	4778
359	2682	4769
360	2689	4761
361	2696	4751
362	2702	4742
363	2709	4733
364	2715	4724
365	2723	4718
366	2730	4709
367	2738	4702
368	2745	4695
369	2755	4691
370	2762	4684
371	2772	4679
372	2780	4674
373	2789	4669
374	2797	4662
375	2805	4656
376	2812	4648
377	2820	4641
378	2827	4633
379	2835	4626
380	2842	4617
381	2849	4610
382	2855	4600
383	2863	4593
384	2870	4585
385	2877	4577
386	2885	4570
387	2891	4561
388	2898	4553
389	2905	4543
390	2912	4536
391	2919	4527
392	2926	4519
393	2932	4510
394	2939	4501
395	2946	4493
396	2952	4484
397	2959	4476
398	2965	4466
399	2971	4457
400	2979	4450
401	2985	4441
402	2992	4432
403	2998	4423
404	3005	4414
405	3011	4406
406	3017	4397
407	3023	4387
408	3030	4378
409	3036	4368
410	3042	4360
411	3048	4351
412	3054	4342
413	3062	4334
414	3068	4326
415	3075	4317
416	3082	4309
417	3088	4300
418	3095	4292
419	3101	4282
420	3107	4274
421	3114	4265
422	3120	4255
423	3126	4247
424	3133	4238
425	3139	4230
426	3146	4221
427	3152	4212
428	3159	4205
429	3165	4196
430	3171	4187
431	3178	4178
432	3184	4170
433	3191	4162
434	3198	4154
435	3205	4145
436	3211	4137
437	3217	4128
